id,city,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,fps_list,channel
181,Verona,,Italy,ITA,Europe,45.4424977,10.98573769,34.169,258031.0,59554023.0,5.3,99.0,168.1,48.1,34.8,125.3,"[4Q1N265qKH8,B-N1NxTi5go]","[[0], [0]]","[[55], [10]]","[[3600], [5300]]","[0, 0]",[],"[0.0, 0.0]",[]
183,München,,Germany,DEU,Europe,48.1371079,11.5753822,384.582,1260391.0,83240525.0,3.8,99.0,173.2,46.7,32.4,99.7,"[OolZqtF1bhE,jnFH4bFfHsQ]","[[0], [0]]","[[0], [0]]","[[3250], [1640]]","[0, 0]","[1022021, 5022022]","[0.0, 0.0]",[]
184,Palermo,,Italy,ITA,Europe,38.1112268,13.3524434,2254.851,648260.0,59554023.0,5.3,99.0,168.1,48.1,34.8,125.3,[K2cGC2Rsx3Y],[[1]],[[100]],[[4320]],[0],[14052022],[0.0],[]
185,Bologna,,Italy,ITA,Europe,44.4938203,11.3426327,45.648,394843.0,59554023.0,5.3,99.0,168.1,48.1,34.8,125.3,[QBnl2dkTCFc],[[0]],[[65]],[[2870]],[0],[],[0.0],[]
186,Köln,,Germany,DEU,Europe,50.938361,6.959974,2254.851,963395.0,83240525.0,3.8,99.0,173.2,46.7,32.4,99.7,[llcNgK_RVMY],[[0]],[[180]],[[3210]],[0],[25122021],[0.0],[]
187,Florence,,Italy,ITA,Europe,43.7697955,11.2556404,39.496,367150.0,59554023.0,5.3,99.0,168.1,48.1,34.8,125.3,"[xS_JFKYmG0k,jZcNFoaIHHI]","[[0], [0]]","[[100], [40]]","[[3330], [1858]]","[0, 0]","[18122021, 19092021]","[0.0, 0.0]",[]
188,Genoa,,Italy,ITA,Europe,44.40726,8.9338624,30.556,580097.0,59554023.0,5.3,99.0,168.1,48.1,34.8,125.3,[q1NKXmF0thQ],[[0]],[[85]],[[3090]],[0],[11092021],[0.0],[]
189,Salou,,Spain,ESP,Europe,41.0768193,1.1440411,1580.684,26775.0,47351567.0,3.9,99.0,169.0,46.3,33.9,96.5,[Q29qM0ppjek],"[[0, 1]]","[[40, 940]]","[[940, 1984]]",[0],[31072021],[0.0],[]
190,Seville,,Spain,ESP,Europe,37.3886303,-5.9953403,42.016,684234.0,47351567.0,3.9,99.0,169.0,46.3,33.9,96.5,"[kFZC83Nsk68,dg12snvAsMQ]","[[0], [0]]","[[78], [50]]","[[2670], [2550]]","[0, 0]","[12062021, 5062021]","[0.0, 0.0]",[]
191,Tarragona,,Spain,ESP,Europe,41.1172364,1.2546057,1580.684,132299.0,47351567.0,3.9,99.0,169.0,46.3,33.9,96.5,[O9UEYIpBw_k],[[0]],[[105]],[[2345]],[0],[30052021],[0.0],[]
