id,city,state,country,iso3,videos,start_time,end_time,vehicle_type,upload_date,time_of_day
2757,Fukushima,Fukushima,Japan,JPN,"[cNnTDe1r5bM,FkMbcmaKQ0I,x_KvyyhQGIw]","[[0], [0, 1817], [0]]","[[2288], [1755, 2543], [2210]]","[0,0,0]","[3042016,3042016,13042016]","[[0], [0, 0], [0]]"
2758,Kashima,Ibaraki,Japan,JPN,"[XZTUECWKe8s,_PN4vqzK9zk,ZCHHT-G3Mq8,PIQRO_DMpOA,D3NHP_gojRw,srhzE6Bizzw]","[[0], [0], [0], [0], [0], [0, 398]]","[[600], [2278], [2099], [888], [833], [397, 2015]]","[0,0,0,0,0,0]","[23032016,30012016,12022016,21032016,28032016,10022016]","[[0], [1], [1], [0], [1], [0, 1]]"
2759,Tsukuba,Ibaraki,Japan,JPN,[nyz-m3NxoFc],"[[0, 1010]]","[[1009, 2235]]",[0],[2042016],"[[0, 1]]"
2760,Mito,Ibaraki,Japan,JPN,[lyh3LAJcCbc],[[0]],[[1630]],[0],[07042016],[[0]]
2761,Itako,Ibaraki,Japan,JPN,"[gzijsRZmfu4,RRbwXpvNWB4,dXIFXHUqSMM,IcD0U-Nd91w,_wUfAY8laSQ,KNZJKXMSIjY,mlZyZWs9tIo,2I21_w0J9UM]","[[0], [0], [0], [0], [0], [0], [0], [0]]","[[2549], [2198], [600], [2052], [2160], [2797], [2870], [1749]]","[0,0,0,0,0,0,0,0]","[30012016,28032016,22032016,2042016,10022016,28032016,4022016,10022016]","[[0], [0], [0], [0], [0], [0], [0], [0]]"
2762,Aomori City,Aomori,Japan,JPN,"[SnTWHOEqR3A,WcfCO3lX9_0]","[[0], [0]]","[[2503], [1986]]","[0,0]","[12042016,12042016]","[[0], [1]]"
2763,Kamisu,Ibaraki,Japan,JPN,[eTSL6ESxQcQ],[[0]],[[2023]],[0],[10022016],[[1]]
2764,Akita,Akita,Japan,JPN,[0TzmL-CNW-k],[[0]],[[2562]],[0],[12042016],[[0]]
2765,Kani,Gifu,Japan,JPN,[7tAAvhw9X58],"[[0], [13]]","[[2412], [1838]]","[0,0]","[2032021,17042021]","[[0], [0]]"
2766,Obihiro,Hokkaidō,Japan,JPN,"[gE_f22AS5oc,6Kg_Dw4AXcE,N8XrlYlvhn8,IlLCnXqKFnQ]","[[0], [2260, 4397], [1744, 2858], [0, 1111, 1835]]","[[180], [4363, 5817], [2715, 4150], [963, 1790, 2860]]","[0,0,0,0]","[14032021,20112020,26122020,5112020]","[[1], [0, 0], [1, 1], [0, 0, 0]]"
2767,Urahoro,Hokkaidō,Japan,JPN,[gE_f22AS5oc],[[2969]],[[3156]],[0],[14032021],[[0]]
2768,Tsurui,Hokkaidō,Japan,JPN,[TWvAQlaePZk],[[6653]],[[6935]],[0],[18012021],[[0]]
2769,Kamishihoro,Hokkaidō,Japan,JPN,[y55abT4_HgE],[[1205]],[[2415]],[0],[16122020],[[0]]
2770,Hirosaki,Aomori,Japan,JPN,"[HtkgrarTwrs,qH_KxlqhgVE]","[[30], [11]]","[[1450], [2693]]","[0,0]","[16122021,11062025]","[[0], [0]]"
2771,Kosaka,Akita,Japan,JPN,[qH_KxlqhgVE],[[4956]],[[5245]],[0],[11062025],[[0]]
2772,Kazuno,Akita,Japan,JPN,[qH_KxlqhgVE],[[5273]],[[6712]],[0],[11062025],[[0]]
2773,Fuefuki,Yamanashi,Japan,JPN,[b118_D1s6yY],[[33]],[[2760]],[0],[25072025],[[0]]
2774,Kamogawa,Chiba,Japan,JPN,[tudxf-aRuP0],[[16]],[[642]],[0],[06112021],[[0]]
2775,Tateyama,Chiba,Japan,JPN,"[QPGlztaRg48,FBE2MsvoskQ]","[[20], [8440]]","[[2820], [9724]]","[0,0]","[9102021,2102021]","[[0], [0]]"
2776,Hachinohe,Aomori,Japan,JPN,[E5wBORVZ_Cc],[[0]],[[1187]],[0],[23082020],[[0]]
2777,Ninohe,Iwate,Japan,JPN,[pyiHkv6CzAw],[[19]],[[1272]],[0],[30082023],[[0]]
2778,Tsuruoka,Yamagata,Japan,JPN,[mhWGJ3AgnqQ],"[[0, 802]]","[[793, 1618]]",[0],[26082022],"[[0, 0]]"
2779,Maebashi,Gunma,Japan,JPN,[nP-bp6B16IA],[[0]],[[1185]],[0],[10122018],[[0]]
2780,Kanazawa,Ishikawa,Japan,JPN,"[saMTfuHPJ9w,GtpCx26QWQI,feyhoZ94dN0,PTINzTIywRQ,pUp_UR68Nnc,SBCakBSo1JE,XsZhSU9omME,kpF4oxMquBY]","[[20], [0], [2154], [0], [0], [0], [0, 1591], [0], [0]]","[[1519], [2696], [2734], [1355], [1240], [1797], [1410, 1675], [300], [1100]]","[0,0,0,0,0,0,0,0,0]","[30052020,4092021,18092023,18122021,26112021,3112021,7102021,31122022,26102021]","[[0], [0], [0], [0], [1], [1], [1, 1], [0], [1]]"
