id,city,state,country,iso3,videos,start_time,end_time,vehicle_type,upload_date,time_of_day
1733,Calgary,AB,Canada,CAN,"[3gCkrKHKXQQ,xdOcOAhxpuQ,1I2cTH_-Bgk]","[[0, 436, 2380], [0], [0], [5, 625], [13], [0], [0], [0], [240], [0], [0], [10], [8], [6, 410], [70, 3126], [0], [0, 850], [2, 1480], [30], [66], [120, 975, 2625], [736], [122], [0, 1373], [630], [0], [638], [0], [0], [1260, 2808], [0], [0, 204, 1370], [335], [0], [20, 3220], [40, 2675, 3332], [11045], [19]]","[[302, 1950, 4251], [1462], [1758], [70, 1222], [1504], [1582], [1310], [870], [1285], [1480], [304], [768], [1792], [408, 1694], [242, 3364], [570], [70, 1396], [93, 3135], [1468], [1240], [424, 1392, 2784], [1569], [1460], [1258, 1743], [1436], [1045], [1816], [1205], [1265], [2807, 3500], [1440], [100, 604, 1509], [1310], [600], [2678, 4062], [1925, 2995, 3693], [11219], [94]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[29042024,26022022,21122021,20092018,4052021,1052012,30122020,16022023,8062021,27052022,2032018,11042022,20122022,30122021,20032021,11022018,25092021,13042020,29092023,13022023,9092022,20062021,13022022,11102020,8052012,27012012,14092020,10112020,1102022,18012021,14022023,23032012,28022021,30072022,31072025,14082025,11082025,7082025]","[[0, 0, 0], [0], [0], [1, 1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0, 0], [0, 0], [0], [0, 0], [0, 0], [0], [0], [0, 0, 0], [1], [0], [0, 0], [0], [0], [0], [0], [0], [1, 0], [0], [0, 0, 0], [0], [0], [0, 0], [1, 1, 1], [0], [0]]"
1870,Valldemossa,,Spain,ESP,[JwObNLdk4LU],"[[25], [15], [1060]]","[[1037], [341], [1116]]","[0,0,0]","[21042025,24042025,1052025]","[[0], [1], [1]]"
1878,Chiba,Chiba,Japan,JPN,[mqVuC_szW24],"[[22], [0], [22]]","[[1207], [3120], [638]]","[0,0,0]","[19082024,7122024,22082024]","[[0], [1], [0]]"
1879,Nara,Nara,Japan,JPN,[qlNZSWy9KP0],"[[22], [0], [5], [5], [0], [0], [30, 635], [50], [0], [1855], [22]]","[[1558], [1796], [531], [1546], [1635], [1808], [530, 1226], [1318], [575], [3345], [560]]","[0,0,0,0,0,0,0,0,0,0,0]","[5082024,1012021,1012021,2012021,11012021,23022022,27022022,1032022,5032022,13032022,12082024]","[[0], [0], [0], [0], [0], [0], [0, 0], [0], [0], [0], [0]]"
1880,Kobe,Hyōgo,Japan,JPN,"[g11BNEfaN9E,pGxdoUKPvHc,7VNs4WsnDos]","[[22], [22], [5], [0], [3200]]","[[2239], [926], [1100], [1888], [3777]]","[0,0,0,0,0]","[1082024,19112022,6032021,14092024,5092024]","[[0], [0], [0], [1], [0]]"
1881,Osaka,Ōsaka,Japan,JPN,"[0s2lTqEg_zE,wn5GgiDKTAw,uHxI5vSqIoo,pl4o-Mx_VcA,qMOlbv8SEWU,nG9N5izptKE,S0WCVwzq5Cs,AavDg7BNH-c,InOqIYtPmeU,nIKP3v5HP7c,bnQbjjghkEU,tUYoXjHwoNw,0y6gEOt-V-M,qlNZSWy9KP0,lZxKu1bnKtY,Fh2bZkojhJ0,q7tMD6AAdq0,keOkZ3P2JcQ,3DQclROFgJ0,hHzVx7UEd2o,aEzxuEUSeiw]","[[22], [42], [25], [22], [25], [22], [0], [0], [847], [7], [5], [0, 1850, 2102], [0], [0], [4], [0], [548], [0], [331], [23], [1710], [22], [1835], [22], [0, 1976], [0], [0], [0], [0, 1160], [13]]","[[4825], [205], [1052], [900], [916], [383], [2452], [692], [2039], [1584], [1122], [766, 1947, 2820], [961], [527], [306], [148], [914], [997], [935], [294], [3450], [4382], [2312], [460], [1975, 3125], [1229], [2244], [329], [1062, 2135], [866]]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0]","[29072024,13022023,13082022,2062022,30072022,25032022,10012022,11012022,5032022,4022021,10022021,1112020,28022025,5022025,7102024,26092024,18092024,13092024,9102021,2092024,2122024,29082024,12082024,6012025,27062020,21052021,19102021,12102021,20062019,2102021]","[[0], [0], [1], [0], [0], [1], [0], [1], [0], [0], [0], [0, 0, 0], [0], [1], [1], [1], [1], [1], [1], [0], [1], [1], [0], [0], [0, 1], [1], [0], [1], [0, 1], [0]]"
1905,Sunnyvale,CA,United States,USA,"[2pgrwrzzmJE,MWpM1FGlUnk]","[[21], [22, 1146], [0], [17], [17]]","[[1986], [1145, 2043], [591], [560], [390]]","[0,0,0,0,0]","[1052023,8122022,30092020,10072025,16062025]","[[1], [0, 0], [0], [0], [0]]"
1908,Mountain View,CA,United States,USA,[CeusVgXYn4o],"[[27], [1381], [0], [2765]]","[[2212], [1521], [807], [2846]]","[0,0,0,0]","[31102022,23062025,23032021,14072025]","[[0], [0], [0], [0]]"
1921,Sausalito,CA,United States,USA,"[kvNemwOVsuY,EaDcy-8TTbI]","[[0], [17], [4845]]","[[1565], [376], [5209]]","[0,0,0]","[7032021,5062025,2062025]","[[0], [0], [0]]"
2300,Yokohama,Kanagawa,Japan,JPN,[KfBxh4yME5c],"[[26, 1370, 2090], [5]]","[[383, 1690, 2385], [1100]]","[0,0]","[30072023,13032021]","[[0, 0, 0], [0]]"
