id,city,state,country,iso3,continent,lat,lon,gmp,population_city,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,fps_list,channel
149,Yangon,,Myanmar,MMR,Asia,16.8305877,96.2191864,64.815,4477638.0,54409794.0,20.4,89.1,160.7,30.4,30.7,214.08,[Il-4y-IPnfg],[[0]],[[10]],[[2183]],[0],[],[0.0],[]
150,Tunis,,Tunisia,TUN,Africa,36.8002068,10.1857757,48.529,693210.0,11818618.0,16.5,96.2,169.3,34.0,33.7,131.7,[0wsuONzLXp0],[[0]],[[31]],[[3148]],[0],[10012023],[0.0],[]
151,Santa Barbara,CA,United States,USA,North America,34.4221319,-119.702667,36.081,91842.0,329484123.0,12.7,86.0,170.1,38.5,41.3,151.1,[n5H0SrfsTQ0],[[0]],[[60]],[[4980]],[0],[],[0.0],[]
152,Lisbon,,Portugal,PRT,Europe,38.7077507,-9.1365919,103.33,517802.0,10305564.0,8.2,96.1,167.8,46.0,34.6,106.8,"[IYzfOouB6rs,Lh9vwKMsEWE,5GVDi1ElQBI,VWmYF8iVf_U,-loKmVacOPU,teK_pFeaYXM,KFkTI71IkOU,OCGdUxjVPd0,rgKOkv-MqMc,MFox0HMbqhY,Oac_2vPkXGs,0uL1c6YMDms,6IIMVJERLuc,CxiGxdnBmeU,BbJg3DGniBA,LoKYqnsplW8,11CUnxdTRns,59aKTAVsfP8,5peS30RlgGI]","[[0], [0], [0], [1], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0], [0]]","[[1947], [70], [64], [74], [71], [200], [96], [51], [60], [27], [1020], [448], [712], [120], [110], [2840], [85], [0], [62]]","[[2875], [908], [3030], [1440], [957], [2284], [1647], [900], [1408], [920], [1667], [4160], [1391], [1940], [2100], [4560], [3448], [3122], [4434]]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
153,Coimbra,,Portugal,PRT,Europe,40.211193,-8.429463,9.837,106582.0,10305564.0,8.2,96.1,167.8,46.0,34.6,106.8,[MFn0KOlh6n4],"[[0, 0]]","[[160, 1500]]","[[1177, 2940]]",[0],[10022022],[0.0],[]
154,Leiria,,Portugal,PRT,Europe,39.74379,-8.807112,287.08,45112.0,10305564.0,8.2,96.1,167.8,46.0,34.6,106.8,[j_aOUr8eaSQ],[[0]],[[148]],[[1371]],[0],[18022022],[0.0],[]
155,Viseu,,Portugal,PRT,Europe,40.657471,-7.913866,287.08,394927.0,10305564.0,8.2,96.1,167.8,46.0,34.6,106.8,[THgaBm5VeC4],[[0]],[[450]],[[2345]],[0],[27022022],[0.0],[]
156,Aveiro,,Portugal,PRT,Europe,40.640496,-8.653784,287.08,54162.0,10305564.0,8.2,96.1,167.8,46.0,34.6,106.8,"[eMRJPjV60L8,ADSLw81FY7k]","[[0], [0]]","[[170], [80]]","[[2636], [2470]]","[0, 0]","[27032022, 24072021]","[0.0, 0.0]",[]
157,Covilhã,,Portugal,PRT,Europe,40.2804021,-7.504191,287.08,17610.0,10305564.0,8.2,96.1,167.8,46.0,34.6,106.8,[MI785dJ8ips],[[0]],[[145]],[[2280]],[0],[],[0.0],[]
158,Antalya,,Türkiye,TUR,Asia,36.8865728,30.7030242,1108.022,1344000.0,84339067.0,12.3,97.0,169.1,0.0,44.4,188.93,[0XZ1xZjEMq4],[[1]],[[150]],[[3140]],[0],[24092022],[0.0],[]
